feature,snull
PVDATE,5.0
PB084,2.0
PB000,2.0
PB132,5.0
PB002,1.0
PB003M,5.0
PB006,1946.0
PB085,1.0
PB086,5.0
PB087,1976.0
PB014,12.0
PB015,1.0
PB016,1.0
PB017M,2.0
PB019,1.0
PB099,5.0
PB100,1.0
PB101,5.0
PB102,1.0
PB103,5.0
PB104,5.0
PB105,5.0
PB107,5.0
PB108,5.0
PB109,5.0
PB110,5.0
PB111,5.0
PB112,5.0
PB113,5.0
PB114,5.0
PB116,5.0
PB117,5.0
PB118,5.0
PB119,5.0
PB120,5.0
PB122,5.0
PB123,5.0
PB124,5.0
PB125M1M,133.0
PB127_3,16.0
PB129_3,12.0
PB127_4,6.0
PB129_4,8.0
PB127_7,14.0
PB129_7,14.0
PB127_9,96.0
PB020,3.0
PB021,5.0
PB022,5.0
PB023,5.0
PB024M,21.0
PB025,5.0
PB078,5.0
PB079,3.0
PB080,5.0
PB081,3.0
PB026,8.0
PB027,12.0
PB088,3.0
PB028,5.0
PB029M1M,7.0
PB089M1M,1.0
PB091M,2.0
PB135,2.0
PB033,2.0
PB034,2.0
PB035,5.0
PB036,1946.0
PB037,1951.0
PB038,5.0
PB096,3.0
PB097,1.0
PB039,2015.0
PB040,7.0
PB041M1,1.0
PB041M2,1.5
PB047M,5.0
PB049,5.0
PB050,1.0
PB052M,11.0
PB082,2.0
PB054,1.0
PB055,5.0
PB056,98.0
PB057,2015.0
PB058,5.0
PB059,1.0
PB060,2015.0
PB061,5.0
PB065,2.0
PB066_1,1969.0
PB067_1,6.0
PB068_1,4.0
PB070_1,2.0
PB066_2,2015.0
PB067_2,7.0
PB068_2,5.0
PB070_2,9.0
PB066_3,2015.0
PB067_3,3.0
PB063,1.0
PB076,1.0
PC001,3.0
PC002,2.0
PC005,1.0
PC006,1.0
PC010,5.0
PC285,1.0
PC214,9998.0
PC011,1.0
PC012,5.0
PC236,5.0
PC018,5.0
PC019,1.0
PC020,8.0
PC232U1,0.0
PC023,2.0
PC024,5.0
PC028,2015.0
PC029,3.0
PC030,5.0
PC031,2.0
PC032,1.0
PC033,5.0
PC034,5.0
PC036,5.0
PC037,1.0
PC038,1.0
PC039,2.0
PC257,5.0
PC258,2001.0
PC274,1.0
PC276,2008.0
PC040,5.0
PC041,1.0
PC042,1.0
PC043,2015.0
PC044,2.0
PC260,5.0
PC261,1995.0
PC045,5.0
PC046,1.0
PC263,5.0
PC264,2002.0
PC048,5.0
PC049,5.0
PC050,1.0
PC266,5.0
PC267,1987.0
PC269,5.0
PC282,1.0
PC270M1,6.0
PC270M2,6.0
PC051,5.0
PC052,5.0
PC053,5.0
PC054,5.0
PC055,5.0
PC060,1.0
PC061,5.0
PC062,5.0
PC064,2015.0
PC063,6.0
PC065,5.0
PC271,5.0
PC067,5.0
PC272,5.0
PC273,5.0
PC210,1.0
PC070,1.0
PC071,2.0
PC076,5.0
PC218,1.0
PC077M1,2.0
PC077M2,5.0
PC219,1.0
PC220,5.0
PC222,5.0
PC240,5.0
PC246,5.0
PC283,5.0
PC280,5.0
PC281,5.0
PC079,5.0
PC080,1.0
PC081,5.0
PC082,5.0
PC087,5.0
PC088,31.0
PC089,1.0
PC090,1.0
PC095,3.0
PC096,3.0
PC097,3.0
PC098,5.0
PC284,5.0
PC099,2.0
PC100,1.0
PC101,5.0
PC237,5.0
PC102,5.0
PC103,3.0
PC083,3.0
PC084,2.0
PC085,3.0
PC086,1.0
PC289,2.0
PC290,0.0
PC291,5.0
PC292,1.0
PC296,5.0
PC293M1,2.0
PC293M2,97.0
PC104,5.0
PC105,2.0
PC106,1.0
PC287,1.0
PC288,5.0
PC107,5.0
PC108M1M,112.0
PC108M2M,112.0
PC278,5.0
PC109,1.0
PC110,1.0
PC112,1.0
PC113,5.0
PC249,5.0
PC250,76.0
PC251,1.0
PC253,50.0
PC254,1.0
PC255,1.0
PC256,5.0
PC114,1.0
PC279,5.0
PC223,4.0
PC224,1.0
PC225,1.0
PC116,1.0
PC117,5.0
PC118,10.0
PC119,1.0
PC120,17.0
PC123,20.0
PC124,2.0
PC125,40.0
PC128,5.0
PC129,0.0
PC130,1.0
PC131,0.0
PC134,2.0
PC135,5.0
PC136,5.0
PC137,5.0
PC138,5.0
PC139,160.0
PC140,5.0
PC226,150.0
PC228,64.0
PC141,5.0
PC142,0.0
PC143,5.0
PC144,5.0
PC145,5.0
PC146,5.0
PC147,5.0
PC148,5.0
PC149,5.0
PC229,0.0
PC150,5.0
PC151,4.0
PC152,1.0
PC153,1.0
PC154,1.0
PC155,1.0
PC156,5.0
PC157,1.0
PC158,2.0
PC159,1.0
PC160,1.0
PC161,1.0
PC162,1.0
PC163,52.0
PC164,2.0
PC165,1.0
PC166,3.0
PC167,5.0
PC168,3.0
PC169,3.0
PC170,1.0
PC171,1.0
PC172,5.0
PC173,5.0
PC174,2.0
PC175,1.0
PC176,1.0
PC177,1.0
PC178,1.0
PC179,4.0
PC180,6.0
PC182,98.0
PC183,1.0
PD101,3.0
PD102,2.0
PD103,1.0
PD104,21.0
PD182M1,4.0
PD182M2,18.0
PD182M3,10.0
PD182M4,2.0
PD182M5,51.0
PD182M6,51.0
PD182M7,51.0
PD182M8,2.0
PD182M9,1.0
PD182M10,6.0
PD182M11,25.0
PD174,5.0
PD175,0.0
PD176,5.0
PD177,0.0
PD108M1,4.0
PD108M2,2.0
PD108M3,3.0
PD110,5.0
PD111,5.0
PD112,5.0
PD113,1.0
PD114,5.0
PD115,1.0
PD116,5.0
PD117,5.0
PD120,1.0
PD122,1.0
PD124,1.0
PD125,1.0
PD127,1.0
PD129,5.0
PD142,93.0
PD143,86.0
PD144,79.0
PD145,72.0
PD146,65.0
PD189,3.0
PD183M1,30.0
PD183M2,8.0
PD183M3,10.0
PD183M4,51.0
PD183M5,51.0
PD183M6,51.0
PD183M7,51.0
PD183M8,51.0
PD183M9,1.0
PD183M10,27.0
PD183M11,52.0
PD184,4.0
PD185,0.0
PD186,6.0
PD187,0.0
PD191,3.0
PD150,1.0
PD151,1.0
PD152,1.0
PD153,1.0
PD154,1.0
PD155,1.0
PD156,1.0
PD157,1.0
PD158,1.0
PD161,2.0
PD163,2.0
PD165,2.0
PD167,1.0
PD169,0.0
PD178,100.0
PD179,400000.0
PD180,240.0
PD196,15.0
PD197,5.0
PD198,1.0
PD199,1.0
PD245M1,6.0
PD245M2,5.0
PD245M3,4.0
PD200,1.0
PD240,1.0
PD241,1.0
PD242,1.0
PD201,1.0
PD202,1.0
PD203,5.0
PD204,1.0
PD205,1.0
PD206,5.0
PD207,1.0
PD208,1.0
PD209,5.0
PD210,5.0
PD211,5.0
PD212,5.0
PD213,1.0
PD214,1.0
PD215,5.0
PD221,1.0
PD222,5.0
PD223,5.0
PD224,1.0
PD225,1.0
PD226,5.0
PD227,1.0
PD228,5.0
PD229,5.0
PD230,5.0
PD231,1.0
PD232,5.0
PD233,1.0
PD234,5.0
PD235,5.0
PD216,1.0
PD217,0.0
PD170,10.0
PD172,1.0
PD171,1.0
PD501,5.0
PD506,2.0
PD507,2.0
PD508,5.0
PD509,2.0
PD510,2.0
PD511,5.0
PD512,2.0
PD513,2.0
PD514,5.0
PD515,2.0
PD516,2.0
PD517,5.0
PD518,2.0
PD519,2.0
PD520,5.0
PD521,2.0
PD522,2.0
PD523,5.0
PD524,3.0
PD525,2.0
PD526,5.0
PD527,2.0
PD528,2.0
PD529,5.0
PD530,2.0
PD531,2.0
PD532,5.0
PD533,2.0
PD534,2.0
PD535,5.0
PD536,2.0
PD537,1.0
PD538,5.0
PD539,2.0
PD540,2.0
PD541,5.0
PD542,2.0
PD543,2.0
PD544,5.0
PD545,2.0
PD546,2.0
PD547,5.0
PD548,2.0
PD549,2.0
PD550,5.0
PD551,2.0
PD552,2.0
PD553,5.0
PD554,5.0
PD555,5.0
PD556,1.0
PD557,5.0
PF001,5.0
PF002,91.0
PF003,1.0
PF004,1.0
PF233,5.0
PF234,5.0
PF006,93.0
PF007,2.0
PF008,2015.0
PF009,1.0
PF010,5.0
PF011,5.0
PF012,88.0
PF013,1.0
PF014,1.0
PF235,5.0
PF236,5.0
PF016,100.0
PF017,98.0
PF018,2011.0
PF019,5.0
PF020,5.0
PF021,1.0
PF022,5.0
PF023,5.0
PF024,1.0
PF025,1.0
PF027,2.0
PF035,5.0
PF036M,8.0
PF038,1.0
PF039,1.0
PF041,5.0
PF042,2.0
PF043,2.0
PF046,8.0
PF050,8.0
PF051,5.0
PF052M,5.0
PF054,1.0
PF055,2.0
PF057,5.0
PF058,3.0
PF059,2.0
PF067,5.0
PF068M,5.0
PF070,1.0
PF071,2.0
PF073,0.0
PF074,5.0
PF075,1.0
PF076,0.0
PF077,1.0
PF078,2.0
PF080,1.0
PF081,1.0
PF232,1.0
PF029,997
PF045,501
PF061,604
PF104,5.0
PF105M1,1.0
PF107_1,999998.0
PF109_1,1001.0
PF110_1,99999996.0
PF112,5.0
PF113M1,1.0
PF114_1M1,993
PF114_1M2,602
PF114_1M3,607
PF114_1M4,606
PF114_1M5,604
PF114_1M6,609
PF117_1,990
PF119,5.0
PF120M1,1.0
PF122_1,9998.0
PF124_1,501.0
PF125_1,5000.0
PF127_1,0.0
PF129_1,0.0
PF130_1,199.0
PF132,5.0
PF133M1,1.0
PF133M2,2.0
PF135_1A,601
PF135_1B,603
PF135_1C,603
PF135_1D,655
PF135_1E,657
PF135_1F,658
PF135_1G,610
PF137_1,601
PF135_2A,606
PF135_2B,604
PF137_2,601
PF139,5.0
PF140M1,1.0
PF140M2,1.0
PF142_1,9998.0
PF144_1,501.0
PF145_1,5000.0
PF147_1,0.0
PF149_1,0.0
PF150_1,199.0
PF142_2,0.0
PF152,5.0
PF153M1,1.0
PF154_1,500.0
PF156_1,1001.0
PF157_1,99999996.0
PF158_1,98.0
PF174,1.0
PF175,5.0
PF176,1.0
PF177,1.0
PF184,1.0
PG001,5.0
PG002,1.0
PG003,1.0
PG004,5.0
PG005,5.0
PG006,1.0
PG007,5.0
PG008,1.0
PG009,5.0
PG010,5.0
PG011,5.0
PG012,5.0
PG013,0.0
PG014,5.0
PG015,1.0
PG016,5.0
PG017,5.0
PG018M1,3.0
PG018M2,3.0
PG018M3,10.0
PG018M4,9.0
PG020,1.0
PG021,5.0
PG022,1.0
PG023,5.0
PG024,5.0
PG025,5.0
PG026,5.0
PG027M1,2.0
PG027M2,2.0
PG027M3,10.0
PG027M4,10.0
PG029,1.0
PG030,5.0
PG031,5.0
PG032_1,083
PG033_1,2.0
PG035_1,5.0
PG032_2,083
PG033_2,6.0
PG035_2,5.0
PG032_3,083
PG033_3,6.0
PG035_3,5.0
PG032_4,083
PG033_4,6.0
PG035_4,5.0
PG032_5,103
PG033_5,6.0
PG035_5,1.0
PG032_6,084
PG033_6,9.0
PG035_6,5.0
PG032_7,085
PG033_7,6.0
PG036,1.0
PG037,1.0
PG207,1.0
PG038,1.0
PG039,2.0
PG040,5.0
PG041,5.0
PG042,5.0
PG043,1.0
PG044,5.0
PG045,1.0
PG046,1.0
PG047,5.0
PG048,1.0
PG049,1.0
PG050,5.0
PG051,5.0
PG052,1.0
PG053,1.0
PG054_1,083
PG055_1,2.0
PG057_1,5.0
PG054_2,083
PG055_2,6.0
PG057_2,5.0
PG054_3,084
PG055_3,6.0
PG057_3,5.0
PG054_4,103
PG055_4,6.0
PG057_4,5.0
PG054_5,083
PG055_5,3.0
PG057_5,5.0
PG054_6,201
PG055_6,20.0
PG058,5.0
PG059,5.0
PG060,5.0
PG061,1.0
PG062_1,101
PG063_1,6.0
PG065_1,5.0
PG062_2,102
PG063_2,6.0
PG208,2.0
PG209,4.0
PG210,3.0
PG086,5.0
PG195,1.0
PG196,1.0
PG197,1.0
PG198,5.0
PG199,1.0
PG200,1.0
PG201,1.0
PG097,1.0
PG098M1,1.0
PG098M2,4.0
PG098M3,4.0
PG098M4,4.0
PG099M1,101
PG099M2,102
PG099M3,103
PG099M4,104
PG099M5,105
PG099M6,107
PG099M7,104
PG099M8,103
PG099M9,104
PG099M10,155
PG099M11,152
PG099M12,158
PG099M13,216
PG100M1,101
PG100M2,102
PG100M3,102
PG100M4,105
PG100M5,106
PG100M6,505
PG100M7,506
PG100M8,508
PG100M9,509
PG101,1.0
P085,2.0
P087,2.0
P090,3.0
P004,1.0
P017M1,96.0
P017M2,11.0
P017M3,11.0
P017M4,11.0
P017M5,11.0
P017M6,8.0
P017M7,11.0
P017M8,97.0
P008,5.0
P009,2.0
P018B,5.0
P018BM1,4.0
P018BM2,16.0
P018BM3,16.0
P018BM4,16.0
P018BM5,16.0
P018BM6,19.0
P018BM7,20.0
P018BM8,20.0
P018BM9,19.0
P018BM10,20.0
P018BM11,13.0
P018BM12,14.0
P018BM13,21.0
P018BM14,16.0
P018BM15,17.0
P018BM16,18.0
P018BM17,19.0
P018BM18,20.0
P018BM19,21.0
P018BM20,22.0
P022A,1.0
P024,3.0
P025,1.0
P026,1.0
P028,2.0
P029,1.0
P030,1.0
P037,3.0
P038,1.0
P039M1,6.0
P039M2,7.0
P039M3,4.0
P039M4,7.0
P044,5.0
P045M1,2.0
P045M2,5.0
P045M3,5.0
P046M1,6.0
P046M2,6.0
P046M3,5.0
P046M4,6.0
POBSVER,2.0
PPMELIG,1.0
PI800,2.0
PI800A,2.0
PI802,1.0
PI662,5.0
PI663,5.0
PI961,1.0
PI857,14:06:00
PI859,135.0
PI860,71.0
PI861,61.0
PI862,14:08:00
PI864,127.0
PI865,69.0
PI866,62.0
PI867,14:09:00
PI869,122.0
PI870,79.0
PI871,64.0
PI854,1.0
PI872,1.0
PI874,2.0
PI855M1,4.0
PI855M2,8.0
PI855M3,97.0
PI672,5.0
PI673,5.0
PI946,5.0
PI674,1.0
PI675,1.0
PI678,2.0
PI679,2.0
PI680,2.0
PI681,3.0
PI682,1.0
PI683M1,1.0
PI683M2,6.0
PI683M3,97.0
PI685M1,9.0
PI685M2,2.0
PI685M3,9.0
PI964,1.0
PI807,180.0
PI808,250.0
PI809,300.0
PI804,1.0
PI810,1.0
PI811,1.0
PI805M1,1.0
PI805M2,2.0
PI966,5.0
PI967,3.0
PI968,1.0
PI815,1.0
PI816,11.5
PI851,14.5
PI852,25.0
PI853,17.5
PI812,1.0
PI817,1.0
PI818,1.0
PI819,5.0
PI813M1,6.0
PI813M2,2.0
PI813M3,97.0
PI970,5.0
PI616,5.0
PI971,1.0
PI879,1.0
PI876,1.0
PI880,10.0
PI881,5.0
PI877M1,1.0
PI877M2,2.0
PI877M3,6.0
PI877M4,6.0
PI973,1.0
PI886,1.0
PI883,1.0
PI887,10.0
PI888,5.0
PI884M1,1.0
PI884M2,2.0
PI884M3,6.0
PI884M4,97.0
PI975,1.0
PI896,1.0
PI893,1.0
PI897,30.0
PI898,1.0
PI894M1,1.0
PI894M2,2.0
PI894M3,6.0
PI977,1.0
PI978,1.0
PI823,4.7
PI824,3.95
PI820,1.0
PI828,1.0
PI660,1.0
PI821M1,1.0
PI821M2,2.0
PI821M3,6.0
PI821M4,7.0
PI687M1,4.0
PI687M2,2.0
PI687M3,3.0
PI954M1,3.0
PI954M2,97.0
PI954M3,6.0
PI954M4,6.0
PI913,1.0
PI987,1.0
PI914,5.0
PI639,5.0
PI941M1,3.0
PI941M2,97.0
PI916M1,3.0
PI918,1.0
PI915,1.0
PI919M1,1.0
PI919M2,97.0
PI922,1.0
PI943M1,3.0
PI943M2,97.0
PI943M3,3.0
PI943M4,97.0
PI989,1.0
PI929,5.0
PI945,5.0
PI923,1.0
PI926M1,1.0
PI926M2,97.0
PI924M1,3.0
PI924M2,97.0
PI831,1.0
PI832M1,1.0
PI832M2,2.0
PI832M3,97.0
PI834,60.0
PI837,5.0
PI838,1.0
PI841,154.0
PI842,1.0
PI666,1.0
PI844,5.0
PI839M1,1.0
PI839M2,2.0
PI839M3,97.0
PI904,1.0
PI907,38.0
PI908M1,1.0
PI911,1.0
PI912,5.0
PI905M1,1.0
PI905M2,2.0
PI905M3,6.0
PI936,1.0
PJ005M1,5.0
PJ005M2,6.0
PJ005M3,6.0
PJ007,9.0
PJ008,2015.0
PJ010,1.0
PJ011,6.0
PJ012,2016.0
PJ014,98.0
PJ015,9998.0
PJ017,98.0
PJ018,2015.0
PJ020,5.0
PJ963,5.0
PJ612,52.0
PJ021,1.0
PJ958,1.0
PJ022,4.0
PJ677,6.0
PJ023,97.0
PJ024,2015.0
PJ678,0.0
PJ028,1.0
PJ679,0.0
PJW777_2,1.0
PJW778_2M1,98.0
PJW778_2M2,2.0
PJW778_2M3,3.0
PJW778_2M4,8.0
PJW777_3,1.0
PJW778_3M1,1.0
PJW778_3M2,2.0
PJW778_3M3,3.0
PJW778_3M4,9.0
PJW777_4,1.0
PJW778_4M1,98.0
PJW778_4M2,6.0
PJW778_4M3,7.0
PJW778_4M4,8.0
PJ680,1.0
PJ031,5.0
PJ032,999998.0
PJ036,6.0
PJ033,0.0
PJ034,624.0
PJ035,98.0
PJ038,1.0
PJ681,0.0
PJ039,999998.0
PJ043,6.0
PJ040,0.0
PJ041,3299.0
PJ042,98.0
PJ682,1.0
PJ045,1.0
PJ683,0.0
PJ055,5.0
PJW777_5,5.0
PJW777_6,1.0
PJW778_6M1,1.0
PJW778_6M2,2.0
PJW778_6M3,3.0
PJW778_6M4,4.0
PJW778_6M5,5.0
PJW778_6M6,11.0
PJW778_6M7,10.0
PJW777_7,1.0
PJW778_7M1,1.0
PJW778_7M2,2.0
PJW778_7M3,3.0
PJW778_7M4,4.0
PJW778_7M5,5.0
PJW778_7M6,6.0
PJW778_7M7,7.0
PJW778_7M8,8.0
PJW778_7M9,9.0
PJW777_8,1.0
PJW778_8M1,6.0
PJW778_8M2,7.0
PJW778_8M3,8.0
PJW778_8M4,9.0
PJW778_8M5,10.0
PJW778_8M6,11.0
PJW778_8M7,12.0
PJW778_8M8,10.0
PJW778_8M9,11.0
PJW786_2,5.0
PJ058,1.0
PJ684,2.0
PJ686,1.0
PJ063,97.0
PJ687,0.0
PJ064,2014.0
PJ067,999998.0
PJ071,1.0
PJ068,201.0
PJ069,99999996.0
PJ070,99.0
PJ688,0.0
PJ073M1,7.0
PJ073M2,7.0
PJ073M3,6.0
PJ075,5.0
PJ076M1,22.0
PJ076M2,5.0
PJ078,5.0
PJ079,5.0
PJ080,5.0
PJW777_10,1.0
PJW778_10M1,1.0
PJW778_10M2,2.0
PJW777_11,1.0
PJW778_11M1,1.0
PJW778_11M2,2.0
PJW778_11M3,3.0
PJW778_11M4,4.0
PJW778_11M5,5.0
PJW778_11M6,6.0
PJW778_11M7,7.0
PJW778_11M8,8.0
PJW778_11M9,9.0
PJW778_11M10,10.0
PJW778_11M11,11.0
PJW777_12,1.0
PJW778_12M1,98.0
PJW778_12M2,5.0
PJW778_12M3,6.0
PJW778_12M4,8.0
PJW778_12M5,9.0
PJW778_12M6,10.0
PJW778_12M7,10.0
PJW778_12M8,11.0
PJW778_12M9,12.0
PJ689,3.0
PJW788_2,1.0
PJ248,98.0
PJ249,1963.0
PJ252,1.0
PJ253,1.0
PJ166M,15.0
PJ168M,16.0
PJ169,98.0
PJ170,1956.0
PJ172,40.0
PJ173,1.0
PJ174,30.0
PJ175,0.0
PJ176,0.0
PJ177,6.0
PJ951,4.0
PJ952,2.0
PJ179,52.0
PJ703,0.0
PJ180,5.0
PJ181,2.0
PJ182,1.0
PJ733,0.0
PJ183,0.0
PJ184,5.0
PJ185,5.0
PJ186,1.0
PJ187,5.0
PJ188,9999998.0
PJ192,1.0
PJ189,0.0
PJ190,99999996.0
PJ191,99.0
PJ194,1.0
PJ195,9999998.0
PJ199,6.0
PJ196,0.0
PJ197,99999996.0
PJ198,99.0
PJ201,1.0
PJ957,7.0
PJ202,5.0
PJ203,999.0
PJ204,5.0
PJ205,2.0
PJ206,999999.0
PJ210,6.0
PJ207,0.0
PJ208,99999996.0
PJ209,99.0
PJ212,3.0
PJ213,1.0
PJ215,70.0
PJ216,10.0
PJ217,0.0
PJ218,99999996.0
PJ219,99.0
PJ220,6.0
PJ222,15.0
PJ223,0.0
PJ224,3.0
PJ225,3000.0
PJ226,4.0
PJ228,998.0
PJ229,11.0
PJ230,137.5
PJ231,11.0
PJ233,0.0
PJ234,1.0
PJ235,5.0
PJ236,98.0
PJ940,1.0
PJ941,1.0
PJ942,6.0
PJ943,6.0
PJ241,5.0
PJ242,5.0
PJ243,98.0
PJ244,999998.0
PJ245,7.0
PJ246,9999999998.0
PJ247,7.0
PJ691,0.0
PJ260,5.0
PJW777_13,1.0
PJW778_13M1,1.0
PJW778_13M2,2.0
PJW777_14,5.0
PJW778_14M1,1.0
PJW778_14M2,2.0
PJW778_14M3,3.0
PJW778_14M4,6.0
PJW778_14M5,8.0
PJW778_14M6,9.0
PJW777_15,1.0
PJW778_15M1,1.0
PJW778_15M2,2.0
PJW778_15M3,3.0
PJW778_15M4,4.0
PJW778_15M5,5.0
PJW778_15M6,12.0
PJW778_15M7,12.0
PJW778_15M8,8.0
PJW778_15M9,9.0
PJW778_15M10,10.0
PJW778_15M11,11.0
PJW777_16,5.0
PJW778_16M1,1.0
PJW778_16M2,2.0
PJW778_16M3,3.0
PJW778_16M4,4.0
PJW778_16M5,5.0
PJW778_16M6,6.0
PJW778_16M7,7.0
PJW778_16M8,8.0
PJW778_16M9,9.0
PJW778_16M10,10.0
PJW786_4,1.0
PJ263,5.0
PJ264,1.0
PJ720,5.0
PJ721,3.0
PJ266,5.0
PJ718,0.0
PJ500,3.0
PJ501,12.0
PJ502,1.0
PJ503,6.0
PJ676,1.0
PJ505,5.0
PJ506,1.0
PJ507,1.0
PJ508,3.0
PJ509M1,1.0
PJ509M2,53.0
PJ510M1,8.0
PJ510M2,6.0
PJ510M3,3.0
PJ512,3.0
PJ513,97.0
PJ514,5.0
PJ516,3.0
PJ517,5.0
PJ518,1.0
PJ519,2.0
PJ520M1,22.0
PJ520M2,22.0
PJ521,10.0
PJ522,1.0
PJ842,20001.0
PJ843,31999.0
PJ524M1,1.0
PJ524M2,6.0
PJ524M3,5.0
PJ524M4,4.0
PJ524M5,5.0
PJ526,97.0
PJ697,1.0
PJ698,0.0
PJ527,5.0
PJ528,1.0
PJ529,99999996.0
PJ533,1.0
PJ530,0.0
PJ531,99999996.0
PJ532,98.0
PJ535,9.0
PJ699,1.0
PJ538,4.0
PJ539,4.0
PJ540,4.0
PJ541,1.0
PJ542,1.0
PJ543,1.0
PJ544,4.0
PJ546,3.0
PJ547,3.0
PJ548,3.0
PJ549,3.0
PJ550,2.0
PJ551,3.0
PJ552,2.0
PJ553,5.0
PJ554M1,1.0
PJ554M2,2.0
PJ556,5.0
PJ557,52.0
PJ558,999998.0
PJ562,6.0
PJ559,0.0
PJ560,99999996.0
PJ561,99.0
PJ595,10.0
PJ596,5.0
PJW777_17,5.0
PJW778_17M1,1.0
PJW778_17M2,2.0
PJW778_17M3,3.0
PJW777_18,5.0
PJW778_18M1,1.0
PJW778_18M2,2.0
PJW778_18M3,3.0
PJW778_18M4,4.0
PJW778_18M5,5.0
PJW778_18M6,6.0
PJW778_18M7,7.0
PJW778_18M8,8.0
PJW778_18M9,9.0
PJW778_18M10,10.0
PJW777_19,1.0
PJW778_19M1,1.0
PJW778_19M2,2.0
PJW778_19M3,3.0
PJW778_19M4,4.0
PJW778_19M5,5.0
PJW778_19M6,6.0
PJW778_19M7,7.0
PJW778_19M8,8.0
PJW778_19M9,9.0
PJW778_19M10,10.0
PJW778_19M11,11.0
PJW777_20,1.0
PJW778_20M1,98.0
PJW778_20M2,5.0
PJW778_20M3,6.0
PJW778_20M4,7.0
PJW778_20M5,8.0
PJW778_20M6,9.0
PJW778_20M7,10.0
PJW778_20M8,11.0
PJW778_20M9,12.0
PJW778_20M10,12.0
PJW786_5,1.0
PJ599,40.0
PJ600,999998.0
PJ604,1.0
PJ601,0.0
PJ602,99999996.0
PJ603,98.0
PJ606,1.0
PJ607M1,2.0
PJ607M2,6.0
